,Geo Point,Geo Shape,dlibre,dgenerica_,despecific,regimen,direccion,codpos,telef,fax,mail,distrito,Tipo
361,"39.465461999074, -0.3929600000000004","{""coordinates"": [-0.39296, 39.465461999074], ""type"": ""Point""}",CENTRE PRIVAT ESCLAVAS DE MARÍA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",ESCLAVAS DE MARÍA,CONCERTADO,"CL. AYORA, 24",46018,963851609,963856888,secretaria@colegioesclavasdemaria.org,Patraix,D'EDUCACIÓ INFANTIL
362,"39.47272399907397, -0.38703599999999944","{""coordinates"": [-0.387036, 39.47272399907397], ""type"": ""Point""}",CENTRE PRIVAT JESÚS MARÍA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",JESÚS MARÍA,CONCERTADO,"GV. FERNANDO EL CATÓLICO, 37",46008,963850900,963858930,jesusmariav@jesusmariav.net,Extramurs,D'EDUCACIÓ INFANTIL
363,"39.47347999907397, -0.39274500000000045","{""coordinates"": [-0.392745, 39.47347999907397], ""type"": ""Point""}",CENTRE PRIVAT SAN PEDRO PASCUAL,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN PEDRO PASCUAL,CONCERTADO,"CL. MAESTRO GUERRERO, 3",46008,963856808,963847394,dirgen@sanpedropascual.net,Extramurs,D'EDUCACIÓ INFANTIL
364,"39.462340999074016, -0.3910169999999997","{""coordinates"": [-0.391017, 39.462340999074016], ""type"": ""Point""}",CENTRE PRIVAT HERMES SOCIEDAD COOPERATIVA VALENCIANA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",HERMES SOCIEDAD COOPERATIVA VALENCIANA,CONCERTADO,"CL. DIBUJANTE MANUEL GAGO, 10-12",46018,963801442,963801442,colegio@colegiohermes.com,Patraix,D'EDUCACIÓ INFANTIL
365,"39.48383899907388, -0.37735500000000105","{""coordinates"": [-0.377355, 39.48383899907388], ""type"": ""Point""}",CENTRE PRIVAT SANTÍSIMA TRINIDAD,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANTÍSIMA TRINIDAD,CONCERTADO,"CL. VISITACIÓN, 13",46009,963477917,963407907,col.valencia@trinitarias.net,Campanar,D'EDUCACIÓ INFANTIL
366,"39.490214999073835, -0.35708799999999974","{""coordinates"": [-0.357088, 39.490214999073835], ""type"": ""Point""}",CENTRE PRIVAT SAGRADA FAMILIA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAGRADA FAMILIA,CONCERTADO,"CL. POETA RICARD SANMARTÍ, 3",46020,963391550,963610500,direccion.sf@fundacionpjo.es,Benimaclet,D'EDUCACIÓ INFANTIL
367,"39.47679999907393, -0.3664179999999997","{""coordinates"": [-0.366418, 39.47679999907393], ""type"": ""Point""}",CENTRE PRIVAT SAGRADO CORAZÓN DE JESÚS -ESCLAVAS-,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAGRADO CORAZÓN DE JESÚS -ESCLAVAS-,CONCERTADO,"CL. MICER MASCÓ, 1",46010,963691100,963691104,scesclavas@scesclavas.com,Pla del Real,D'EDUCACIÓ INFANTIL
368,"39.47565699907393, -0.35518900000000003","{""coordinates"": [-0.355189, 39.47565699907393], ""type"": ""Point""}",CENTRE PRIVAT GUADALAVIAR,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",GUADALAVIAR,CONCERTADO,"AV. BLASCO IBÁÑEZ, 56",46021,963393600,963601173,info@colegioguadalaviar.es,Pla del Real,D'EDUCACIÓ INFANTIL
369,"39.48076699907391, -0.3714749999999998","{""coordinates"": [-0.371475, 39.48076699907391], ""type"": ""Point""}",CENTRE PRIVAT PÍO XII,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",PÍO XII,CONCERTADO,"CL. ALBORAIA, 9",46010,963607000,963607152,pioxiival@planalfa.es,Pla del Real,D'EDUCACIÓ INFANTIL
370,"39.48675399907387, -0.3559669999999994","{""coordinates"": [-0.355967, 39.48675399907387], ""type"": ""Point""}",CEIP BENIMACLET,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,BENIMACLET,CONCERTADO,"CL. ARQUITECTO ARNAU, S/N",46020,963618817,963891441,cmbenimaclet@valencia.es,Benimaclet,D'EDUCACIÓ INFANTIL I PRIMÀRIA
371,"39.46182299907402, -0.33409700000000025","{""coordinates"": [-0.334097, 39.46182299907402], ""type"": ""Point""}",CENTRE PRIVAT LA PURÍSIMA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",LA PURÍSIMA,CONCERTADO,"CL. JOSÉ AGUIRRE, 30-33",46011,963670258,963670258,colegio@lapurisimagrao.com,Poblados Marítimos,D'EDUCACIÓ INFANTIL
372,"39.47304699907396, -0.3332990000000005","{""coordinates"": [-0.333299, 39.47304699907396], ""type"": ""Point""}",CENTRE PRIVAT CHINER VILLARROYA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CHINER VILLARROYA,CONCERTADO,"CL. FELIPE VIVES CAÑAMAS, 19",46011,963714463,963714463,Col.Chiner_Villarroya@telefonica.net,Poblados Marítimos,D'EDUCACIÓ INFANTIL
373,"39.46409899907401, -0.3451380000000005","{""coordinates"": [-0.345138, 39.46409899907401], ""type"": ""Point""}",CENTRE PRIVAT LA ANUNCIACIÓN,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",LA ANUNCIACIÓN,CONCERTADO,"CL. CONSERVA, 2",46022,963304412,963309405,anunciacionv@planalfa.es,Camins al Grau,D'EDUCACIÓ INFANTIL
374,"39.48130099907391, -0.32878499999999977","{""coordinates"": [-0.328785, 39.48130099907391], ""type"": ""Point""}",CEIP MALVA-ROSA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MALVA-ROSA,PÚBLICO,"CL. PICO DE TEIDE, 1-3",46011,962565200,962565201,46011533@edu.gva.es,Poblados Marítimos,D'EDUCACIÓ INFANTIL I PRIMÀRIA
375,"39.45903399907406, -0.34142399999999995","{""coordinates"": [-0.341424, 39.45903399907406], ""type"": ""Point""}",CEIP EL GRAU,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,EL GRAU,PÚBLICO,"AV. BALEARES, 64",46023,962566000,962566001,46011570@edu.gva.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
376,"39.47413399907394, -0.32981499999999975","{""coordinates"": [-0.329815, 39.47413399907394], ""type"": ""Point""}",CENTRE PRIVAT SANTIAGO APÓSTOL,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANTIAGO APÓSTOL,CONCERTADO,"CL. ESCALANTE, 329",46011,963710722,963710722,colegio@santiagoapostolcabanyal.es,Poblados Marítimos,D'EDUCACIÓ INFANTIL
377,"39.46467899907401, -0.409772","{""coordinates"": [-0.409772, 39.46467899907401], ""type"": ""Point""}",CENTRE PRIVAT JESÚS MARÍA-FUENSANTA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",JESÚS MARÍA-FUENSANTA,CONCERTADO,"PZ. MURCIA, 10",46014,963793251,963140724,direccion@jesusmariafuensanta.es,Olivereta,D'EDUCACIÓ INFANTIL
378,"39.48818599907386, -0.40242300000000125","{""coordinates"": [-0.402423, 39.48818599907386], ""type"": ""Point""}",CENTRE PRIVAT SAGRADA FAMILIA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAGRADA FAMILIA,CONCERTADO,"CL. PADRE BARRANCO, 40",46015,963405410,963405411,secretaria@sfamiliav.hhdc.net,Benicalap,D'EDUCACIÓ INFANTIL
379,"39.49094299907384, -0.39066400000000145","{""coordinates"": [-0.390664, 39.49094299907384], ""type"": ""Point""}",CENTRE PRIVAT SAN ROQUE,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN ROQUE,CONCERTADO,"CL. JOSÉ GROLLO, 20",46025,963491658,963491800,colegiosanroque@colegiosanroque.com,Benicalap,D'EDUCACIÓ INFANTIL
380,"39.46112999907402, -0.36987699999999946","{""coordinates"": [-0.369877, 39.46112999907402], ""type"": ""Point""}",CEIP JAIME BALMES,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JAIME BALMES,PÚBLICO,"CL. MAESTRO AGUILAR, 15",46006,961205775,961205776,46012197@edu.gva.es,L'Eixample,D'EDUCACIÓ INFANTIL I PRIMÀRIA
381,"39.467280999074, -0.39990700000000096","{""coordinates"": [-0.399907, 39.467280999074], ""type"": ""Point""}",CEIP SECTOR AÉREO,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SECTOR AÉREO,PÚBLICO,"CL. SANTA CRUZ DE TENERIFE, 1",46018,962566770,962566771,46012321@edu.gva.es,Patraix,D'EDUCACIÓ INFANTIL I PRIMÀRIA
382,"39.48445999907388, -0.3804549999999986","{""coordinates"": [-0.380455, 39.48445999907388], ""type"": ""Point""}",CEIP DOCTOR OLÓRIZ,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,DOCTOR OLÓRIZ,PÚBLICO,"CL. DOCTOR OLÓRIZ, 28",46009,962565240,962565241,46012392@edu.gva.es,Campanar,D'EDUCACIÓ INFANTIL I PRIMÀRIA
383,"39.49537699907382, -0.3781099999999997","{""coordinates"": [-0.37811, 39.49537699907382], ""type"": ""Point""}",CEIP TORREFIEL,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,TORREFIEL,PÚBLICO,"CL. ERUDITO PAGES, 1",46019,962566360,962566361,46012446@edu.gva.es,Rascanya,D'EDUCACIÓ INFANTIL I PRIMÀRIA
384,"39.49472299907382, -0.36691700000000044","{""coordinates"": [-0.366917, 39.49472299907382], ""type"": ""Point""}",CEIP MIGUEL HERNÁNDEZ,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MIGUEL HERNÁNDEZ,PÚBLICO,"CL. ESTEBAN DOLZ DEL CASTELLAR, S/N",46019,961205500,961205501,46012458@edu.gva.es,Rascanya,D'EDUCACIÓ INFANTIL I PRIMÀRIA
385,"39.472584999073966, -0.36212400000000183","{""coordinates"": [-0.362124, 39.472584999073966], ""type"": ""Point""}",CEP PRIMER MARQUÉS DEL TURIA,COL·LEGI D'EDUCACIÓ PRIMÀRIA,PRIMER MARQUÉS DEL TURIA,PÚBLICO,"PZ. DE GALICIA, 7",46010,962566300,962566301,46012525@edu.gva.es,Pla del Real,D'EDUCACIÓ PRIMÀRIA
387,"39.479360999073926, -0.3281549999999988","{""coordinates"": [-0.328155, 39.479360999073926], ""type"": ""Point""}",CEIP BALLESTER FANDOS,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,BALLESTER FANDOS,PÚBLICO,"AV. MALVARROSA, 57",46011,962566210,962566211,46012586@edu.gva.es,Poblados Marítimos,D'EDUCACIÓ INFANTIL I PRIMÀRIA
388,"39.47813099907393, -0.37305200000000094","{""coordinates"": [-0.373052, 39.47813099907393], ""type"": ""Point""}",CENTRE PRIVAT FP ESCUELA PROFESIONAL XAVIER,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,ESCUELA PROFESIONAL XAVIER,CONCERTADO,"CL. PINTOR LÓPEZ, 8",46003,963918200,963915064,secretaria@epx.fjaverianas.com,Ciutat Vella,FORMACIÓ PROFESSIONAL ESPECÍFICA
389,"39.46527199907402, -0.39948800000000123","{""coordinates"": [-0.399488, 39.46527199907402], ""type"": ""Point""}",IES CID CAMPEADOR,INSTITUT D'EDUCACIÓ SECUNDÀRIA,CID CAMPEADOR,PÚBLICO,"CL. GUILLEM DESPUIG, 8",46018,961206185,961206186,46012987@edu.gva.es,Patraix,D'EDUCACIÓ SECUNDÀRIA
390,"39.440535999074164, -0.39036499999999996","{""coordinates"": [-0.390365, 39.440535999074164], ""type"": ""Point""}",IES JOANOT MARTORELL,INSTITUT D'EDUCACIÓ SECUNDÀRIA,JOANOT MARTORELL,PÚBLICO,"CL. CIUDAD DEL APRENDIZ, 2",46017,961206050,961206051,46012999@edu.gva.es,Jesus,D'EDUCACIÓ SECUNDÀRIA
391,"39.46960299907397, -0.344921","{""coordinates"": [-0.344921, 39.46960299907397], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL CIUDAD JARDÍN,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,CIUDAD JARDÍN,PRIVADO,"CL. JOSÉ DE ORGA, 4",46022,963725768,963559192,info@eiciudadjardin.com,Camins al Grau,D'EDUCACIÓ INFANTIL
392,"39.45355899907408, -0.3701879999999995","{""coordinates"": [-0.370188, 39.45355899907408], ""type"": ""Point""}",CENTRE PRIVAT SALESIANOS-SAN JUAN BOSCO,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SALESIANOS-SAN JUAN BOSCO,CONCERTADO,"AV. DE LA PLATA, 10",46013,963343705,963739630,valencia.sanjuanbosco@salesianos.edu,Quatre Carreres,D'EDUCACIÓ INFANTIL
393,"39.45276499907408, -0.358213","{""coordinates"": [-0.358213, 39.45276499907408], ""type"": ""Point""}",CONSERVATORI SUPERIOR DE MÚSICA JOAQUÍN RODRIGO,CONSERVATORI SUPERIOR DE MÚSICA,JOAQUÍN RODRIGO,PÚBLICO,"CL. CINEASTA RICARDO MUÑOZ SUAY, S/N",46013,961206970,961206971,46013219@iseacv.gva.es,Quatre Carreres,MÚSICA
394,"39.48289499907389, -0.3814639999999998","{""coordinates"": [-0.381464, 39.48289499907389], ""type"": ""Point""}",ESCOLA OFICIAL D'IDIOMES VALÈNCIA-SAÏDIA,ESCOLA OFICIAL D'IDIOMES,VALÈNCIA-SAÏDIA,PÚBLICO,"CL. LLANO DE ZAIDÍA, 19",46009,961206835,961206836,46013220@edu.gva.es,Campanar,ESCOLA OFICIAL D'IDIOMES
395,"39.455107999074066, -0.36170900000000006","{""coordinates"": [-0.361709, 39.455107999074066], ""type"": ""Point""}",CEIP MAGISTERIO ESPAÑOL,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MAGISTERIO ESPAÑOL,PÚBLICO,"CL. AMADO GRANELL MESADO, 61",46013,962566060,962566061,46013438@edu.gva.es,Quatre Carreres,D'EDUCACIÓ INFANTIL I PRIMÀRIA
396,"39.450567999074096, -0.39048000000000027","{""coordinates"": [-0.39048, 39.450567999074096], ""type"": ""Point""}",CEIP JOSÉ SOTO MICÓ,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JOSÉ SOTO MICÓ,PÚBLICO,"CL. BEETHOVEN, S/N",46017,961205480,961205481,46013451@edu.gva.es,Jesus,D'EDUCACIÓ INFANTIL I PRIMÀRIA
397,"39.479706999073926, -0.3255670000000004","{""coordinates"": [-0.325567, 39.479706999073926], ""type"": ""Point""}",CEIP VICENTE BLASCO IBÁÑEZ,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VICENTE BLASCO IBÁÑEZ,PÚBLICO,"CL. ISABEL DE VILLENA, 6",46011,962566370,962566371,46013487@edu.gva.es,Poblados Marítimos,D'EDUCACIÓ INFANTIL I PRIMÀRIA
398,"39.48357399907389, -0.36776300000000084","{""coordinates"": [-0.367763, 39.48357399907389], ""type"": ""Point""}",CEIP VIVERS,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VIVERS,PÚBLICO,"CL. JACA, S/N",46010,962566790,962566791,46013505@edu.gva.es,Pla del Real,D'EDUCACIÓ INFANTIL I PRIMÀRIA
399,"39.44449899907414, -0.36514400000000036","{""coordinates"": [-0.365144, 39.44449899907414], ""type"": ""Point""}",CEIP LA FONTETA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LA FONTETA,PÚBLICO,"CL. CURA PALANCA, S/N",46013,962566670,962566671,46013517@edu.gva.es,Quatre Carreres,D'EDUCACIÓ INFANTIL I PRIMÀRIA
400,"39.47617899907395, -0.36122900000000097","{""coordinates"": [-0.361229, 39.47617899907395], ""type"": ""Point""}",CENTRE PRIVAT AULA 3,CENTRE PRIVAT D'EDUCACIÓ SECUNDÀRIA,AULA 3,PRIVADO,"CL. ARTES GRÁFICAS, 24-26",46010,963698175,963601015,info@colegioaula3.es,Pla del Real,D'EDUCACIÓ SECUNDÀRIA
401,"39.4965239990738, -0.3726659999999998","{""coordinates"": [-0.372666, 39.4965239990738], ""type"": ""Point""}",CEE PRIV. AUXILIA,CENTRE PRIVAT D'EDUCACIÓ ESPECIAL,AUXILIA,PRIVADO,"CL. GRAVADOR FABREGAT, 5-B",46019,963725082,963553143,fav@auxilia.es,Rascanya,D'EDUCACIÓ ESPECIAL
402,"39.48259199907389, -0.39587500000000037","{""coordinates"": [-0.395875, 39.48259199907389], ""type"": ""Point""}",CEIP CAMPANAR,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CAMPANAR,PÚBLICO,"CL. RASCANYA, 1",46015,961205490,961205491,46015186@edu.gva.es,Benicalap,D'EDUCACIÓ INFANTIL I PRIMÀRIA
403,"39.46201599907404, -0.3321750000000003","{""coordinates"": [-0.332175, 39.46201599907404], ""type"": ""Point""}",IES EL GRAO,INSTITUT D'EDUCACIÓ SECUNDÀRIA,EL GRAO,PÚBLICO,"CL. ESCALANTE, 9",46011,961206030,961206031,46015290@edu.gva.es,Poblados Marítimos,D'EDUCACIÓ SECUNDÀRIA
404,"39.47762199907393, -0.35618299999999986","{""coordinates"": [-0.356183, 39.47762199907393], ""type"": ""Point""}",CENTRE PRIVAT FP ALTAVIANA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,ALTAVIANA,CONCERTADO,"CL. ALMELA Y VIVES, 5",46010,963604400,963934603,altaviana@altaviana.com,Pla del Real,FORMACIÓ PROFESSIONAL ESPECÍFICA
405,"39.468285999073984, -0.34569400000000117","{""coordinates"": [-0.345694, 39.468285999073984], ""type"": ""Point""}",CEIP ANTONIO GARCÍA LÓPEZ,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,ANTONIO GARCÍA LÓPEZ,PÚBLICO,"CL. PERIS BRELL, 66",46022,961207345,961207346,46016051@edu.gva.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
406,"39.43962299907416, -0.3874920000000006","{""coordinates"": [-0.387492, 39.43962299907416], ""type"": ""Point""}",CEE PÚB. PROFESOR SEBASTIÁN BURGOS,CENTRE D'EDUCACIÓ ESPECIAL,PROFESOR SEBASTIÁN BURGOS,PÚBLICO,"CL. ALQUERÍA DE BENIMASSOT, 17",46017,961207005,961207006,46016245@edu.gva.es,Jesus,CENTRE D'EDUCACIÓ ESPECIAL
407,"39.49258299907384, -0.373278","{""coordinates"": [-0.373278, 39.49258299907384], ""type"": ""Point""}",CEIP PROFESOR BARTOLOMÉ COSSIO,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PROFESOR BARTOLOMÉ COSSIO,PÚBLICO,"CL. REIG GENOVÉS, 29",46019,962566310,962566311,46016452@edu.gva.es,Rascanya,D'EDUCACIÓ INFANTIL I PRIMÀRIA
409,"39.47660999907392, -0.40135499999999963","{""coordinates"": [-0.401355, 39.47660999907392], ""type"": ""Point""}",CEIP FRANCISCO GINER DE LOS RÍOS,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,FRANCISCO GINER DE LOS RÍOS,PÚBLICO,"PZ. GRUP PARPALLÓ, S/N",46015,962566020,962566021,46016580@edu.gva.es,Benicalap,D'EDUCACIÓ INFANTIL I PRIMÀRIA
410,"39.48566899907387, -0.39945200000000003","{""coordinates"": [-0.399452, 39.48566899907387], ""type"": ""Point""}",CEE PRIV. EL MOLÍ,CENTRE PRIVAT D'EDUCACIÓ ESPECIAL,EL MOLÍ,CONCERTADO,"CL. PADRE MUEDRA, 19",46015,963407256,0,elmoli.cee@gmail.com,Benicalap,D'EDUCACIÓ ESPECIAL
411,"39.47137699907397, -0.3839880000000003","{""coordinates"": [-0.383988, 39.47137699907397], ""type"": ""Point""}",CENTRE ENS. PROFESSIONALS DE MÚSICA INSTITUTO MUSICAL GINER,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA,INSTITUTO MUSICAL GINER,PRIVADO,"CL. GUILLEM DE CASTRO, 73",46008,963920786,963913267,info@elmicalet.cat,Extramurs,MÚSICA
412,"39.461825999074016, -0.35227100000000044","{""coordinates"": [-0.352271, 39.461825999074016], ""type"": ""Point""}",CONSERVATORI PROFESSIONAL DE MÚSICA JOSÉ ITURBI,CONSERVATORI PROFESSIONAL DE MÚSICA,JOSÉ ITURBI,PÚBLICO,"AV. BALEARES, 36",46023,963525478,963370148,46016981@gva.es,Camins al Grau,MÚSICA
413,"39.45692999907406, -0.3763890000000002","{""coordinates"": [-0.376389, 39.45692999907406], ""type"": ""Point""}",CENTRE PRIVAT FP ENSEÑANZAS PROFESIONALES SOROLLA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,ENSEÑANZAS PROFESIONALES SOROLLA,CONCERTADO,"CL. DOCTOR DOMAGK, 1",46006,963732199,963336486,profesional@gruposorolla.es,L'Eixample,FORMACIÓ PROFESSIONAL ESPECÍFICA
414,"39.47756999907393, -0.34883699999999945","{""coordinates"": [-0.348837, 39.47756999907393], ""type"": ""Point""}",CEIP VICENTE GAOS,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,VICENTE GAOS,PÚBLICO,"PZ. POETA VICENTE GAOS, 1",46021,962566380,962566381,46017213@edu.gva.es,Pla del Real,D'EDUCACIÓ INFANTIL I PRIMÀRIA
415,"39.489907999073836, -0.3800479999999999","{""coordinates"": [-0.380048, 39.489907999073836], ""type"": ""Point""}",CEIP PROFESOR LUIS BRAILLE,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PROFESOR LUIS BRAILLE,PÚBLICO,"CL. LUIS CRUMIERE, 2",46009,962566710,962566711,46017249@edu.gva.es,Campanar,D'EDUCACIÓ INFANTIL I PRIMÀRIA
416,"39.47172799907397, -0.38768799999999953","{""coordinates"": [-0.387688, 39.47172799907397], ""type"": ""Point""}",CENTRE ENS. PROFESSIONALS DE DANSA VALENCIÀ,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE DANSA,CENTRE PROFESSIONAL DE DANSA VALENCIÀ,PRIVADO,"CL. CALIXTO III, 13",46008,963858054,963858054,info@cpdansavalencia.com,Extramurs,DANSA
417,"39.44333499907414, -0.39403300000000074","{""coordinates"": [-0.394033, 39.44333499907414], ""type"": ""Point""}",CEIP PROFESSOR RAMIRO JOVER,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PROFESSOR RAMIRO JOVER,PÚBLICO,"CL. PÍO IX, S/N",46017,962566320,962566321,46017471@edu.gva.es,Jesus,D'EDUCACIÓ INFANTIL I PRIMÀRIA
418,"39.45765099907405, -0.3981889999999995","{""coordinates"": [-0.398189, 39.45765099907405], ""type"": ""Point""}",CEIP ELISEO VIDAL,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,ELISEO VIDAL,PÚBLICO,"CL. MÚSICO GOMIS, 1",46014,962566250,962566251,46017596@edu.gva.es,Olivereta,D'EDUCACIÓ INFANTIL I PRIMÀRIA
419,"39.47015799907398, -0.34430999999999934","{""coordinates"": [-0.34431, 39.47015799907398], ""type"": ""Point""}",CEIP EXPLORADOR ANDRÉS,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,EXPLORADOR ANDRÉS,PÚBLICO,"CL. RAMON DE CAMPOAMOR, 88",46022,961205515,961205516,46017602@edu.gva.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
420,"39.468865999074, -0.3703169999999999","{""coordinates"": [-0.370317, 39.468865999074], ""type"": ""Point""}",CENTRE PRIVAT FP TEVIÁN,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,TEVIÁN,PRIVADO,"CL. ISABEL LA CATÓLICA, 9",46004,963520425,963521588,formacion@tevian.com,L'Eixample,FORMACIÓ PROFESSIONAL ESPECÍFICA
421,"39.464890999074015, -0.41009899999999966","{""coordinates"": [-0.410099, 39.464890999074015], ""type"": ""Point""}",CIPFP MISERICÒRDIA,CENTRE INTEGRAT PÚBLIC DE FORMACIÓ PROFESSIONAL,MISERICÒRDIA,PÚBLICO,"CL. CASA DE LA MISERICORDIA, 34",46014,961205920,961205921,46018035@edu.gva.es,Olivereta,CENTRE INTEGRAT PÚBLIC DE FORMACIÓ PROFESSIONAL
422,"39.48790999907387, -0.3701429999999993","{""coordinates"": [-0.370143, 39.48790999907387], ""type"": ""Point""}",CEIP MAX AUB,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MAX AUB,PÚBLICO,"CL. PADRE URBANO, S/N",46009,962566280,962566281,46018126@edu.gva.es,Campanar,D'EDUCACIÓ INFANTIL I PRIMÀRIA
423,"39.49613499907382, -0.3669640000000007","{""coordinates"": [-0.366964, 39.49613499907382], ""type"": ""Point""}",IES ORRIOLS,INSTITUT D'EDUCACIÓ SECUNDÀRIA,ORRIOLS,PÚBLICO,"CL. SANTIAGO RUSIÑOL, S/N",46019,961205970,961205971,46018138@edu.gva.es,Rascanya,D'EDUCACIÓ SECUNDÀRIA
425,"39.483942999073896, -0.3854040000000005","{""coordinates"": [-0.385404, 39.483942999073896], ""type"": ""Point""}",CENTRE PRIVAT FP ACADEMIA DE PELUQUERÍA VALENCIA,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,ACADEMIA DE PELUQUERÍA VALENCIA,PRIVADO,"CL. PADRE FERRIS, 22",46009,963490039,0,info@acvalencia.com,Campanar,FORMACIÓ PROFESSIONAL ESPECÍFICA
426,"39.45002099907409, -0.3674729999999999","{""coordinates"": [-0.367473, 39.45002099907409], ""type"": ""Point""}",CENTRE PÚBLIC FPA FONT DE SANT LLUÍS,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,FONT DE SANT LLUÍS,PÚBLICO,"CL. PACO PIERRA, 20",46013,961207335,961207336,46019404@edu.gva.es,Quatre Carreres,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES
427,"39.46798799907398, -0.38853399999999916","{""coordinates"": [-0.388534, 39.46798799907398], ""type"": ""Point""}",CENTRE PÚBLIC FPA SERRANO MORALES,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,SERRANO MORALES,PÚBLICO,"CL. ALBERIQUE, 18",46008,961206915,961206916,46019477@edu.gva.es,Extramurs,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES
428,"39.468532999073986, -0.387183999999999","{""coordinates"": [-0.387184, 39.468532999073986], ""type"": ""Point""}","CENTRE ELEMENTAL DE MÚSICA ALSINA, ASOCIACIÓN",CENTRE AUTORITZAT ELEMENTAL DE MÚSICA,"ALSINA, ASOCIACIÓN",PRIVADO,"CL. DOCTOR SANCHIS SIVERA, 23",46008,963846151,963846151,musica.alsina@gmail.com,Extramurs,MÚSICA
